,words,repeated
340,a gay,1
341,gay version,1
342,version of,3
343,of that,2
344,that lol,0
345,anme httpstcoVmXzXvXJhj,0
346,in truth,0
347,truth i,0
348,i think,14
349,think he,5
350,he was,7
351,was afraid,0
352,afraid rudy,0
353,rudy steiner,4
354,steiner was,4
355,was scared,4
356,scared of,4
357,book thiefs,0
358,thiefs kiss,0
359,kiss he,0
360,he must,8
361,must have,14
362,have longed,4
363,longed for,4
364,for it,4
365,it so,5
366,so much,1
367,much he,0
368,have loved,6
369,loved her,4
370,her so,4
371,so incredibly,4
372,incredibly hard,0
373,hard so,0
374,so hard,5
375,hard that,4
376,that he,5
377,he would,4
378,never ask,4
379,ask for,4
380,for her,5
381,her lips,4
382,lips again,4
383,again and,4
384,and would,4
385,would go,4
386,to his,5
387,his grave,4
388,grave without,4
389,without them,0
390,Prometheus thief,0
391,thief of,11
392,of light,0
393,light giver,0
394,giver of,4
395,light bound,0
396,bound by,4
397,by the,13
398,the gods,0
399,gods must,0
400,have been,7
401,been a,7
402,We need,0
403,need a,5
404,a serious,1
405,serious thief,1
406,thief to,5
407,to go,3
408,to heaven,4
409,heaven and,3
410,and steal,5
411,steal the,4
412,book of,45
413,of sinners,1
414,sinners ðŸðŸ,0
415,ðŸðŸ httpstcoNivQiRQ,0
416,The Thief,0
417,Thief on,0
418,the Winged,0
419,Winged Horse,0
420,Horse by,0
421,by Kate,0
422,Kate Mascarenhas,0
423,Mascarenhas httpstcoPbApOEQubs,0
424,httpstcoPbApOEQubs via,0
425,In The,0
426,The Original,0
427,Original Torah,0
428,Torah Pearls,0
429,Pearls Devarim,0
430,Devarim Deuteronomy,0
431,Deuteronomy we,0
432,we look,1
433,look at,4
434,at how,1
435,how the,2
436,the word,1
437,word Deuteronomy,0
438,Deuteronomy is,0
439,is a,22
440,a Greek,0
441,Greek mistranslation,0
442,mistranslation that,1
443,that hides,1
444,hides the,1
445,the Hebrew,0
446,Hebrew meaning,0
447,meaning who,0
448,who wrote,2
449,wrote the,4
450,of Deuteronomy,0
451,Deuteronomy and,0
452,and what,1
453,what does,1
454,does this,1
455,this have,1
456,have to,3
457,to do,4
458,do with,2
459,a thief,30
460,thief in,8
461,night httpstcobuaQOOD,0
462,Thief by,0
463,by Zuzak,0
464,seokmooni yeah,1
465,yeah hiraeth,1
466,au its,1
467,its in,1
468,tags and,2
469,and that,2
470,that book,2
471,book sucks,1
472,sucks so,1
473,so bad,1
474,bad its,1
475,its so,1
476,glossvmnk Ive,0
477,Ive never,0
478,never read,3
479,read it,11
480,it but,3
481,but Ive,0
482,Ive looked,0
483,looked through,1
484,through the,3
485,and the,71
486,the diary,1
487,thief really,1
