,words,repeated
2535,want him,1
2536,him off,1
2537,off it,1
2538,it still,0
2539,jxdrxxnn The,0
2540,watch Anime,0
2541,Anime Features,0
2542,Features type,0
2543,Historical StoneRoses,0
2544,StoneRoses because,0
2545,The Stone,0
2546,Stone Roses,0
2547,Roses s,0
2548,Santorini at,0
2549,âœIm always,0
2550,always finding,1
2551,finding humans,1
2552,humans at,1
2553,at their,1
2554,their best,1
2555,best and,2
2556,and worst,0
2557,worst I,0
2558,I see,0
2559,see their,1
2560,their ugly,1
2561,ugly and,1
2562,their beauty,1
2563,beauty and,1
2564,I wonder,0
2565,wonder how,1
2566,the same,7
2567,same can,1
2568,can be,5
2569,be bothâ,0
2570,Heyy Iâm,0
2571,Iâm starting,0
2572,starting to,1
2573,be on,1
2574,on twt,1
2575,twt more,1
2576,more so,1
2577,so if,2
2578,if youâre,0
2579,youâre a,0
2580,a swiftie,0
2581,swiftie army,0
2582,army stay,0
2583,stay midzy,0
2584,midzy or,1
2585,or youâre,0
2586,youâre into,0
2587,into YAfantasy,0
2588,YAfantasy letâs,0
2589,letâs be,0
2590,be moots,1
2591,moots my,0
2592,my favorite,11
2593,favorite books,5
2594,books rn,1
2595,rn are,1
2596,book thiefthe,0
2597,thiefthe cruel,0
2598,cruel prince,0
2599,prince SOC,0
2600,SOC and,0
2601,and anything,1
2602,anything with,1
2603,with Nikolai,0
2604,Nikolai Lantsovâ,0
2605,Lantsovâ also,0
2606,also deathnote,1
2607,deathnote is,1
2608,favorite anime,0
2609,I JUST,0
2610,JUST FINISHED,0
2611,FINISHED READING,0
2612,READING THE,0
2613,THE BOOK,0
2614,BOOK THIEF,0
2615,THIEF I,0
2616,I THINK,0
2617,THINK I,0
2618,I MIGHT,0
2619,MIGHT CRY,0
2620,CRY NOW,0
2621,HasnSahibzada Once,0
2622,Once upon,0
2623,upon a,1
2624,a time,2
2625,time a,1
2626,a young,1
2627,young gangster,1
2628,gangster met,1
2629,met a,1
2630,a medical,1
2631,student Their,0
2632,Their forbidden,0
2633,forbidden could,1
2634,could last,1
2635,last a,1
2636,a lifetime,0
2637,lifetime if,0
2638,if they,2
2639,they survive,0
2640,spaghettithief Quran,0
2641,Quran allows,0
2642,allows Muslim,0
2643,Muslim men,0
2644,men to,1
2645,to marry,2
2646,marry non,1
2647,non Muslim,0
2648,Muslim women,0
2649,women of,1
2650,of âpeople,0
2651,âpeople of,0
2652,the bookâ,0
2653,bookâ Women,0
2654,Women can,0
2655,can marry,1
2656,marry converts,1
2657,converts to,1
2658,to Islam,0
2659,Islam from,0
2660,from Judaism,0
2661,Judaism amp,0
2662,amp Christianity,0
2663,Christianity All,0
2664,All it,0
2665,it took,3
2666,took to,1
2667,to prove,1
2668,prove conversion,1
2669,conversion was,1
2670,was attestation,0
2671,attestation You,0
2672,You need,0
2673,a better,3
2674,better look,1
2675,the Ottoman,0
2676,Ottoman Millet,0
2677,Millet system,0
2678,system and,1
2679,and Sharia,0
2680,Sharia law,0
2681,spaghettithief a,0
2682,book famously,1
2683,famously known,1
2684,known for,1
2685,the fact,2
2686,fact that,2
2687,that in,1
2688,in can,1
2689,can only,1
2690,only be,1
2691,be interpreted,1
2692,interpreted and,1
2693,and followed,1
2694,followed in,1
2695,in one,3
2696,one single,1
2697,single way,0
2698,I said,0
2699,said they,1
2700,they should,1
2701,should have,2
2702,have just,1
2703,just use,1
2704,use Harper,0
2705,Harper Row,0
2706,Row instead,0
2707,instead of,2
2708,of Cass,0
2709,Cass if,0
2710,they was,1
2711,was gon,0
2712,gon na,0
2713,na just,0
2714,just make,1
2715,make her,2
2716,her a,1
2717,thief but,4
2718,it makes,2
2719,makes much,1
2720,much more,1
2721,more sense,1
2722,sense that,1
2723,that they,1
2724,they wanted,1
2725,wanted a,1
2726,a comic,1
2727,book accurate,1
2728,accurate Cass,0
2729,Cass Cause,0
2730,Cause why,0
2731,why put,1
2732,put her,1
2733,her name,1
2734,name in,1
2735,movie but,1
2736,but make,1
2737,her NOTHING,0
2738,NOTHING like,0
2739,like her,1
2740,her comic,1
2741,book self,0
2742,self httpstcoZQibNDjbS,0
2743,davidtwilby Do,0
2744,like timeless,1
2745,timeless love,0
2746,love forbidden,0
2747,forbidden love,0
2748,love across,0
2749,across class,1
2750,class and,1
2751,and religious,1
2752,religious lines,0
2753,lines in,0
2754,time when,1
2755,when being,1
2756,being gay,1
2757,gay could,1
2758,could get,1
2759,get you,1
2760,you a,1
2761,a coffin,1
2762,coffin or,1
2763,or prison,1
2764,prison time,0
2765,time Come,0
2766,Come meet,0
2767,meet Gael,0
2768,Jack httpstcoZTFSer,0
2769,CherylStrayed The,0
2770,watch Romantic,0
2771,Romantic Dramas,0
2772,plan TheVow,0
2773,TheVow ampReading,0
2774,to Pink,0
2775,Pink Floyd,0
2776,Floyd s,0
2777,Facebook NO,0
2778,NO I,0
2779,I HATE,0
2780,HATE FACE,0
2781,FACE BOOK,0
2782,BOOK SHOULD,0
2783,SHOULD BE,0
2784,BE BROKEN,0
2785,BROKEN UP,0
2786,UP AND,0
2787,AND TRASHED,0
2788,TRASHED BECAUSE,0
2789,BECAUSE ZUCK,0
2790,ZUCK STOLE,0
2791,STOLE YOUR,0
2792,YOUR PERSONAL,0
2793,PERSONAL INFORMATION,0
2794,INFORMATION AND,0
2795,AND SOLD,0
2796,SOLD IT,0
2797,IT TO,0
2798,TO THE,0
2799,THE HIGHEST,0
2800,HIGHEST BidderâWITHOUT,0
2801,BidderâWITHOUT YOUR,0
2802,YOUR PERMISSION,0
2803,PERMISSION He,0
2804,He is,0
2805,a privacy,1
2806,privacy thief,0
2807,cpbrownnarrator httpstcoZTFSer,0
2808,httpstcoZTFSer has,0
2809,has a,3
2810,site Ive,0
2811,Ive contracted,0
2812,contracted with,1
2813,with webnovel,0
2814,webnovel Gael,0
2815,have an,2
2816,an old,1
2817,and Permission,0
2818,Permission follows,0
2819,follows them,1
2820,them from,1
2821,from to,1
2822,to come,2
2823,come read,4
2824,first remastered,1
2825,remastered chapters,0
2826,SamuelSouthwell Do,0
2827,like old,1
2828,love Determination,0
2829,Determination loyalty,0
2830,loyalty passion,0
2831,passion LGBTQ,0
2832,LGBTQ Gael,0
2833,are miss,1
2834,miss matched,1
2835,matched in,1
2836,in almost,1
2837,almost every,1
2838,every way,0
2839,way but,0
2840,but their,1
2841,love will,1
2842,will span,1
2843,span decades,0
2844,decades httpstcoZTFSer,0
2845,httpstcoZTFSer FreeReads,0
2846,books booktwt,0
2847,booktwt bookblogger,0
2848,bookblogger bookblog,0
2849,My latest,0
2850,latest book,1
2851,now live,0
2852,live If,0
2853,If youre,0
2854,youre looking,0
2855,great stand,1
2856,stand alone,1
2857,alone fantasy,0
2858,fantasy check,0
2859,check out,4
2860,out Lauren,0
2861,Lauren Mansys,0
2862,Mansys The,0
2863,Thief Its,0
2864,Its incredible,0
2865,incredible BookReview,0
2866,creekbs the,1
2867,thief i,5
2868,i read,13
2869,it like,1
2870,like times,1
2871,times a,1
2872,a year,1
2873,watch Basketball,0
2874,Basketball type,0
2875,Fantasy Parklife,0
2876,Parklife because,0
2877,has Blur,0
2878,Blur s,0
2879,starleykxo If,0
2880,youre interested,0
2881,interested in,1
2882,in historical,1
2883,fiction Id,0
2884,Id suggest,0
2885,suggest All,0
2886,All The,0
2887,The Light,0
2888,Light We,0
2889,We Can,0
2890,Can not,0
2891,not See,0
2892,See and,0
2893,and The,0
2894,Thief Others,0
2895,Others nonhistorical,0
2896,nonhistorical fiction,0
2897,fiction include,0
2898,include The,0
2899,The Poppy,0
2900,Poppy War,0
2901,War trilogy,0
2902,trilogy and,1
2903,Runner but,0
2904,but search,0
2905,search up,1
2906,up trigger,1
2907,trigger warnings,1
2908,warnings first,1
2909,first just,1
2910,just in,2
2911,in case,0
2912,More SassAndSteam,0
2913,SassAndSteam excitement,0
2914,excitement Book,0
2915,Book Priceless,0
2916,Priceless is,0
2917,a finalist,1
2918,finalist for,1
2919,a PRISM,0
2920,PRISM award,0
2921,award and,1
2922,and in,4
2923,in some,1
2924,some stellar,1
2925,stellar company,0
2926,httpstcoMJDQTVb httpstcoAiGAQWXga,0
2927,ErikJLarsen Yeah,0
2928,Yeah Itâs,0
2929,Itâs an,0
2930,an outrage,0
2931,outrage Last,0
2932,Last I,0
2933,I heard,0
2934,heard the,1
2935,thief was,3
2936,was still,1
2937,still alive,0
2938,alive sitting,0
2939,sitting on,1
2940,on in,1
2941,in stolen,1
2942,stolen art,0
2943,Corben wrote,0
2944,wrote it,1
2945,it off,1
2946,off as,1
2947,a âœlost,0
2948,âœlost bookâ,0
2949,bookâ but,0
2950,itâs an,0
2951,an astounding,1
2952,astounding work,0
2953,i feel,2
2954,feel like,2
2955,like logan,1
2956,logan lerman,1
2957,lerman wouldve,0
2958,wouldve been,0
2959,good percy,0
2960,percy but,0
2961,but as,5
2962,year old,1
2963,old percy,0
2964,percy like,0
2965,like heroes,1
2966,heroes of,1
2967,of olympus,1
2968,olympus percy,0
2969,but for,2
2970,for pjohes,0
2971,pjohes too,0
2972,too old,0
2973,percy was,0
2974,was in,3
2975,thief book,4
2976,book and,70
2977,movie made,2
2978,made took,1
2979,took him,1
2980,him and,1
2981,made him,1
2982,him instead,0
2983,Crime Documentaries,0
2984,Documentaries and,0
2985,plan Amanda,0
2986,Amanda Knox,0
2987,Knox Fin,0
2988,Fin because,0
2989,to Italy,0
2990,Italy at,0
2991,KatTDooley Yay,0
2992,Yay books,0
2993,books My,0
2994,My personal,0
2995,personal favorites,1
2996,favorites are,1
2997,are Megan,0
2998,Megan Whalen,0
2999,Whalen Turners,0
3000,Turners Queens,0
3001,Queens Thief,0
3002,series Lois,0
3003,Lois McMaster,0
3004,McMaster Bujolds,0
3005,Bujolds Chalion,0
3006,Chalion books,0
3007,books and,3
3008,The Goblin,0
3009,Goblin Emperor,0
3010,Emperor by,0
3011,by Katherine,0
3012,Katherine Addison,0
3013,Addison Fav,0
3014,Fav book,0
3015,book for,7
3016,for June,0
3017,June was,0
3018,a supernatural,1
3019,supernatural YA,0
3020,YA called,0
3021,called Elatose,0
3022,Elatose by,0
3023,by Darcie,0
3024,Darcie Little,0
3025,Little Badger,0
3026,The Storybarn,0
3027,Storybarn at,0
3028,at The,0
3029,The Reader,0
3030,Reader is,0
3031,is bringing,2
3032,bringing an,2
3033,an actionpacked,0
3034,actionpacked adventure,0
3035,adventure to,2
3036,to Calderstones,0
3037,Calderstones Park,0
3038,Park this,0
3039,this summer,1
3040,summer The,0
3041,The outdoor,0
3042,outdoor trail,2
3043,trail is,2
3044,is based,2
3045,The Prince,0
3046,Prince and,0
3047,the Witch,0
3048,Witch and,0
3049,the Bears,0
3050,Bears by,0
3051,by Alastair,0
3052,Alastair Chisholm,0
3053,Chisholm July,0
3054,July Aug,0
3055,Aug ampm,0
3056,httpstcopQYcFJYph httpstcoNrfMQjCWqG,0
3057,moviemenfes atonement,0
3058,atonement schindlers,0
3059,schindlers list,0
3060,list the,1
3061,watch Adventures,0
3062,Adventures type,0
3063,Historical Greece,0
3064,has Queen,0
3065,Queen s,0
3066,Its Saturday,0
3067,Saturday which,0
3068,which means,1
3069,means its,0
3070,its book,0
3071,book promo,1
3072,promo time,0
3073,The Shield,0
3074,Shield Road,0
3075,Road is,0
3076,a collection,1
3077,collection of,1
3078,fantasy short,1
3079,short stories,1
3080,stories all,1
3081,all set,1
3082,set in,2
3083,same world,0
3084,world In,0
3085,In it,0
3086,it youll,0
3087,youll find,0
3088,find a,1
3089,a princessturnedassassin,0
3090,princessturnedassassin a,0
3091,a studentturnedthief,0
3092,studentturnedthief and,0
3093,and found,1
3094,found family,1
3095,family tropes,0
3096,tropes âï,0
3097,âï httpstcoowTokTTZm,0
3098,cpbrownnarrator Immortals,0
3099,what to,2
3100,next why,0
3101,why dont,0
3102,thief ðŸš,0
3103,ðŸš Check,0
3104,more recommendationsðŸ,0
3105,It really,0
3106,really is,1
3107,is funny,1
3108,funny seeing,1
3109,seeing Republicans,0
3110,Republicans trying,0
3111,protect a,1
3112,a bookthe,0
3113,bookthe Bible,0
3114,Bible they,0
3115,they obviously,1
3116,obviously dont,0
3117,dont even,0
3118,even read,1
3119,read from,1
3120,from an,1
3121,an imaginary,1
3122,imaginary bible,1
3123,bible thief,1
3124,thief smh,1
3125,DemVoice ONEV,0
3126,Bokat is,0
3127,an evocative,1
3128,evocative wordsmith,1
3129,wordsmith she,1
3130,she has,1
3131,has crafted,1
3132,crafted a,1
3133,a sympathetic,1
3134,sympathetic heroine,1
3135,heroine as,1
3136,as her,1
3137,her main,1
3138,main character,1
3139,character A,0
3140,A compulsively,0
3141,compulsively readable,1
3142,readable mystery,1
3143,mystery and,1
3144,and character,1
3145,character study,0
3146,study The,0
3147,The verdict,0
3148,verdict Get,0
3149,Get it,0
3150,confession i,0
3151,i have,14
3152,have not,1
3153,not read,2
3154,read or,2
3155,or watched,1
3156,watched a,1
3157,a single,2
3158,single percy,2
3159,percy jackson,8
3160,jackson moviebook,0
3161,moviebook ive,0
3162,ive only,1
3163,only seen,1
3164,seen the,1
3165,thief musical,3
3166,musical cause,1
3167,cause i,2
3168,i liked,2
3169,liked a,1
3170,a song,2
3171,song that,1
3172,that i,6
3173,i saw,1
3174,saw in,1
3175,a animatic,1
3176,animatic and,0
3177,the bootleg,1
3178,bootleg one,1
3179,one i,2
3180,i watched,1
3181,watched sucked,1
3182,sucked ass,1
3183,ass so,1
3184,so half,1
3185,half the,1
3186,the songs,1
3187,songs didnt,1
3188,didnt play,0
3189,literarybase The,0
3190,The song,0
3191,song of,8
3192,of Achilles,0
3193,Achilles amp,0
3194,amp The,0
3195,thief ðŸ,0
3196,updating my,0
3197,my fav,5
3198,fav book,2
3199,book list,1
3200,list because,1
3201,because i,5
3202,i want,1
3203,more twitter,1
3204,twitter bffs,1
3205,the bridge,1
3206,bridge kingdom,0
3207,iâm gon,0
3208,na read,0
3209,thief now,0
3210,Fan of,0
3211,the Book,0
3212,THE LUCK,0
3213,LUCK OF,0
3214,OF THE,0
3215,THE WEISSENSTEINERS,0
3216,WEISSENSTEINERS left,0
3217,left me,1
3218,me breathless,1
3219,breathless amp,0
3220,amp in,0
3221,in awe,0
3222,Jewish weavers,0
3223,weavers in,1
3224,in Slovakia,0
3225,Slovakia during,0
3226,during WW,0
3227,a difficult,0
3228,difficult subject,1
3229,subject handled,1
3230,handled with,1
3231,with grace,0
3232,asmsg PDF,0
3233,PDF httpstcoTtqtiLosn,0
3234,httpstcoTtqtiLosn httpstcoSxLVNuXQU,0
3235,usosce ðŸ,0
3236,Paul Klebnikov,0
3237,Klebnikov was,0
3238,was killed,1
3239,killed bc,0
3240,bc he,0
3241,he pissed,1
3242,pissed off,1
3243,off Boris,0
3244,Boris Berezovsky,0
3245,Berezovsky Boris,0
3246,Boris was,0
3247,was one,1
3248,of Klebnikovs,0
3249,Klebnikovs main,0
3250,main targets,1
3251,targets in,1
3252,in his,3
3253,his articles,1
3254,articles amp,0
3255,amp book,0
3256,book Godfather,0
3257,Godfather of,0
3258,the Kremlin,0
3259,Kremlin Boris,0
3260,Berezovsky amp,0
3261,amp the,0
3262,the Looting,0
3263,Looting of,0
3264,of Russia,0
3265,Russia Boris,0
3266,Boris a,0
3267,thief amp,0
3268,amp Putin,0
3269,Putin critic,0
3270,critic got,0
3271,got asylum,1
3272,asylum in,1
3273,in UK,0
3274,craytusjones Also,0
3275,Also the,0
3276,the Hunger,0
3277,Games books,0
3278,books someone,0
3279,someone else,1
3280,else mentioned,1
3281,mentioned The,0
3282,and this,2
3283,this version,1
3284,of Wuthering,0
3285,Wuthering Heights,0
3286,Heights because,0
3287,it made,1
3288,me homesick,1
3289,homesick for,1
3290,for West,0
3291,West Yorkshire,0
3292,Yorkshire httpstcoQzDJwYsBx,0
3293,NSTBA PICTURE,0
3294,PICTURE BOOK,0
3295,BOOK LONG,0
3296,LONG LIST,0
3297,LIST Anita,0
3298,Anita and,0
3299,the Dragons,0
3300,hannahacarmona AnnaCunha,0
3301,lantanapub Be,0
3302,Be Kind,0
3303,MacmillanKidsUK Little,0
3304,Little Bearâs,0
3305,Bearâs Treasures,0
3306,GreystoneKids The,0
3307,The Story,0
3308,Story Thief,0
3309,AndersenPress NSTBA,0
3310,NSTBA httpstcouoOpHNUgfR,0
3311,ElenaRu Immortals,0
3312,bookpreneur Immortals,0
3313,Yessss Harry,0
3314,Potter family,0
3315,family comes,1
3316,comes first,0
3317,first and,1
3318,thief httpstcoZtYYIkNGI,0
3319,out this,5
3320,this listing,4
3321,listing I,0
3322,I just,0
3323,added to,4
3324,my Poshmark,0
3325,Poshmark closet,0
3326,closet âœThe,0
3327,âœThe Lightning,0
3328,Lightning Thief,0
3329,Thief paperback,0
3330,paperback book,0
3331,book httpstcopdzoifspMB,0
3332,httpstcopdzoifspMB shopmycloset,0
3333,craytusjones I,0
3334,I cry,0
3335,cry at,2
3336,same places,1
3337,places in,1
3338,in Diana,0
3339,Diana Gabaldons,0
3340,Gabaldons Outlander,0
3341,Outlander read,0
3342,it X,0
3343,WriterDG Buckets,0
3344,Buckets of,0
3345,of tears,1
3346,tears at,1
3347,at end,1
3348,end of,4
3349,The Red,0
3350,Red Tent,0
3351,Tent amp,0
3352,Thief I,0
3353,The Green,0
3354,Green Mile,0
3355,Mile Its,0
3356,Its a,0
3357,a Wonderful,0
3358,Wonderful Life,0
3359,Life ET,0
3360,ET amp,0
3361,amp Youve,0
3362,Youve Got,0
3363,Got Mail,0
3364,Im discussing,0
3365,discussing âœâœThe,0
3366,âœâœThe Book,0
3367,Thiefâ Review,0
3368,Review and,0
3369,and Discussionâ,0
3370,Discussionâ with,0
3371,with Parmi,0
3372,Parmi Aryal,0
3373,Aryal Keisha,0
3374,Keisha Stubbs,0
3375,AmandaAngulo Chrissy,0
3376,Chrissy Holm,0
3377,Holm and,0
3378,and Book,0
3379,Book Sessions,0
3380,Sessions Tomorrow,0
3381,Tomorrow Jul,0
3382,Jul at,0
3383,at AM,0
3384,AM IST,0
3385,IST on,0
3386,clubhouse Join,0
3387,Join us,0
3388,us httpstcoxJXaShrBBk,0
3389,instabucher Do,0
3390,Do something,0
3391,something amp,0
3392,amp have,0
3393,have them,1
3394,them not,1
3395,not put,1
3396,put the,2
3397,the shelvesâ,0
3398,shelvesâ a,0
3399,in disguise,1
3400,disguise ðŸðŸ,0
3401,FlicksNoChills Geoffrey,0
3402,Geoffrey Rush,0
3403,Rush murdered,0
3404,murdered a,1
3405,a German,0
3406,German accent,0
3407,accent in,1
3408,Thief too,0
3409,too ðŸ,0
3410,zaaaaaaaaaai Ay,0
3411,Ay Try,0
3412,Try Northern,0
3413,Northern Limit,0
3414,Limit Line,0
3415,Line or,0
3416,or The,0
3417,Vibeseeker try,0
3418,adding avocado,1
3419,avocado toast,0
3420,toast The,0
3421,and Mumford,0
3422,Mumford and,0
3423,and Sons,0
3424,Sons into,0
3425,Set Take,0
3426,Take on,0
3427,on Me,0
3428,Me as,0
3429,httpstcopSiQKpnxwm httpstcobwGAPstBr,0
3430,vladtarko I,0
3431,see that,3
3432,that on,2
3433,on Mayday,0
3434,Mayday this,0
3435,this year,1
3436,year when,0
3437,when I,0
3438,was speaking,1
3439,speaking about,1
3440,about Enclosure,0
3441,Enclosure at,0
3442,at a,2
3443,a leftist,1
3444,leftist picnic,0
3445,picnic David,0
3446,David published,0
3447,published an,1
3448,an interview,1
3449,interview with,2
3450,with Peter,0
3451,Peter Linebaugh,0
3452,Linebaugh whose,0
3453,whose book,1
3454,book Stop,0
3455,Stop Thief,0
3456,Thief Ive,0
3457,Ive been,0
3458,reading Connections,0
3459,Connections httpstcoOeZCDjtln,0
3460,watch Alien,0
3461,Alien SciFi,0
3462,SciFi type,0
3463,to Ylvis,0
3464,Ylvis and,0
3465,Pop Parseltongue,0
3466,Parseltongue because,0
3467,has Snake,0
3468,Island in,0
3469,goodreads The,0
3470,by Markuz,0
3471,I live,0
3472,live a,1
3473,life and,1
3474,and find,1
3475,find that,1
3476,we to,1
3477,this day,1
3478,day seem,1
3479,seem to,2
3480,to fight,1
3481,fight over,1
3482,over all,1
3483,all sorts,1
3484,sorts of,1
3485,of odd,1
3486,odd things,0
3487,things I,0
3488,thief that,2
3489,that thought,1
3490,thought she,1
3491,she should,1
3492,should be,2
3493,be given,1
3494,given tons,1
3495,tons of,2
3496,of money,2
3497,money for,1
3498,for moving,1
3499,moving to,2
3500,the city,1
3501,city and,1
3502,and vandlized,1
3503,vandlized trains,0
3504,trains How,0
3505,How does,0
3506,does that,2
3507,that make,1
3508,make tons,1
3509,money fast,1
3510,fast in,1
3511,in anyones,0
3512,anyones mind,0
3513,Action SciFi,0
3514,Fantasy and,0
3515,Fantasy ClintEastwood,0
3516,to Gorillaz,0
3517,jonoread The,0
3518,is beautiful,0
3519,beautiful read,0
3520,it twice,1
3521,twice now,0
3522,now The,0
3523,The movie,0
3524,movie doesnât,0
3525,doesnât even,0
3526,even compare,0
3527,AmellMirai Immortals,0
3528,klhicks Immortals,0
3529,LRettell readers,0
3530,AlphasEverAfter Immortals,0
3531,one was,1
3532,other stole,1
3533,the sky,0
3534,ok i,0
3535,i need,2
3536,do this,2
3537,this thing,1
3538,thing again,0
3539,not new,1
3540,new to,1
3541,to booktwt,0
3542,booktwt but,0
3543,but looking,1
3544,more moots,2
3545,moots who,1
3546,who like,0
3547,the invisible,4
3548,of addie,4
3549,addie larue,3
3550,of stars,1
3551,stars to,1
3552,Zusak httpstcoWsQmjkXPiz,0
3553,Knox Watertown,0
3554,TedGenoways Youll,0
3555,Youll enjoy,0
3556,enjoy this,1
3557,this if,1
3558,if you,14
3559,you have,3
3560,have access,0
3561,Assassins Creed,0
3562,Creed Unity,0
3563,Unity Ch,0
3564,Ch The,0
3565,Thief httpstcoEdXJIk,0
3566,httpstcoEdXJIk via,0
3567,Whew Okay,0
3568,Okay My,0
3569,My TBW,0
3570,TBW list,0
3571,and well,0
3572,well see,0
3573,see whatll,0
3574,whatll happen,0
3575,happen with,1
3576,with Book,0
3577,Book Witch,0
3578,Witch amp,0
3579,A Piece,0
3580,Piece of,0
3581,of Stake,0
3582,Stake because,0
3583,because I,0
3584,have sequel,1
3585,sequel plans,1
3586,plans for,2
3587,for them,1
3588,them both,0
3589,both httpstcowUXlvGc,0
3590,The Alchemy,0
3591,Alchemy Thief,0
3592,Thief launches,0
3593,launches in,1
3594,one week,0
3595,week Pirates,0
3596,Pirates and,0
3597,and Puritans,0
3598,Puritans Book,0
3599,Book giveaway,0
3600,giveaway books,0
3601,books histfic,0
3602,histfic httpstcoRxGgmzNq,0
3603,Classic War,0
3604,War type,0
3605,Fantasy Bohemian,0
3606,Bohemian because,0
3607,Italy in,0
3608,adding cake,0
3609,cake The,0
3610,and Johnny,0
3611,Johnny Cash,0
3612,Cash into,0
3613,Set Aint,0
3614,Aint No,0
3615,No Mountain,0
3616,Mountain High,0
3617,High Enough,0
3618,Enough as,0
3619,ringtone recommend,0
3620,watch Baseball,0
3621,Baseball and,0
3622,plan BaseballEnthusiasm,0
3623,BaseballEnthusiasm Watertown,0
3624,Everything is,0
3625,is upside,1
3626,upside down,1
3627,down in,1
3628,in Zusaks,0
3629,Zusaks novel,0
3630,novel Sounds,0
3631,Sounds are,0
3632,are tasted,0
3633,tasted visions,0
3634,visions are,1
3635,are heard,0
3636,heard and,0
3637,and death,3
3638,death has,1
3639,a heart,0
3640,heart The,0
3641,The New,0
3642,York Times,0
3643,you havent,0
3644,havent already,0
3645,already relive,0
3646,relive this,2
3647,this arresting,2
3648,arresting One,0
3649,One Book,0
3650,Book One,0
3651,One Chicagos,0
3652,Chicagos selection,0
3653,selection The,0
3654,Thief httpstcomYOOVtnOYX,0
3655,OBOCat httpstcoGTiZvdzw,0
3656,Potter by,0
3657,SandaYama The,0
3658,The Stand,0
3659,Stand Atlas,0
3660,Atlas Shrugged,0
3661,Shrugged The,0
3662,Thief Lilac,0
3663,Lilac Girls,0
3664,Girls Where,0
3665,Where the,0
3666,the Crawdads,0
3667,Crawdads Sing,0
3668,Sing Sold,0
3669,Sold on,0
3670,on a,3
3671,a Monday,0
3672,Monday The,0
3673,The Alice,0
3674,Alice Network,0
3675,Network Cemetery,0
3676,Cemetery Road,0
3677,SaraScofield Not,0
3678,Not so,0
3679,much but,0
3680,but a,1
3681,a bit,5
3682,bit of,3
3683,of suspense,0
3684,suspense About,0
3685,About a,0
3686,a writer,1
3687,writer who,1
3688,who uses,1
3689,uses a,1
3690,a dead,1
3691,dead writing,1
3692,writing students,0
3693,students incredible,0
3694,incredible story,1
3695,story idea,1
3696,idea to,1
3697,to write,4
3698,write the,2
3699,the next,3
3700,next great,1
3701,great novel,0
3702,novel living,0
3703,living the,1
3704,the high,1
3705,high life,0
3706,life book,0
3707,book tours,1
3708,tours interviews,0
3709,interviews etc,0
3710,etc until,0
3711,until he,2
3712,he gets,1
3713,gets an,1
3714,an email,0
3715,email You,0
3716,You are,0
3717,are a,3
3718,thief Someone,0
3719,Someone knows,0
3720,knows what,1
3721,what he,2
3722,did Suspense,0
3723,Suspense ensues,0
3724,ensues ðŸƒ,0
3725,seanmcarroll Ive,0
3726,Ive got,0
3727,got ta,0
3728,ta figure,0
3729,figure that,1
3730,the average,2
3731,average thief,1
3732,thief stealing,2
3733,stealing almost,1
3734,almost any,1
3735,any of,3
3736,your book,2
3737,book deliveries,1
3738,deliveries ends,1
3739,ends up,1
3740,up mystified,1
3741,mystified and,1
3742,and disappointed,0
3743,Thief just,0
3744,just brilliant,1
3745,brilliant x,1
3746,x Enjoy,0
3747,thief iâm,0
3748,iâm not,0
3749,not doing,1
3750,doing well,0
3751,I wan,0
3752,wan na,0
3753,na make,0
3754,make more,1
3755,moots so,1
3756,so heres,0
3757,heres some,0
3758,books amp,0
3759,amp series,0
3760,Loveboat Taipei,0
3761,The selection,0
3762,selection series,0
3763,SwaziJwand The,0
3764,thief ogoraðŸðŸ,0
3765,Percy Jackson,0
3766,Jackson and,0
3767,The Olympians,0
3768,Olympians The,0
3769,The Lightning,0
3770,storytellersaga I,0
3771,NicolaYoonâs books,0
3772,books And,0
3773,And my,0
3774,time fav,1
3775,fav is,1
3776,is The,0
3777,Thief Reading,0
3778,Reading We,0
3779,We were,0
3780,were liars,1
3781,liars right,1
3782,right now,2
3783,now So,0
3784,So glad,0
3785,glad to,1
3786,see YA,0
3787,YA get,0
3788,get some,1
3789,some love,0
3790,Lovely morning,0
3791,morning catching,1
3792,catching up,1
3793,with my,1
3794,book groups,0
3795,groups excellent,0
3796,excellent books,1
3797,books Highland,0
3798,Highland Falcon,0
3799,and Malamander,0
3800,Malamander and,0
3801,and hot,1
3802,hot chocolate,1
3803,chocolate with,1
3804,the trimmings,1
3805,trimmings âïðŸš,0
3806,ThomasHTaylor httpstcoSWJiRsj,0
3807,DurgapalSeema I,0
3808,got interviewed,0
3809,interviewed This,0
3810,This podcast,0
3811,podcast is,1
3812,is so,3
3813,so cool,0
3814,cool He,0
3815,He reads,0
3816,reads the,2
3817,Permission in,0
3818,in such,2
3819,cool way,0
3820,The Pod,0
3821,Pod cast,0
3822,cast httpstcoEKAzYXXa,0
3823,My story,0
3824,story httpstcoZTFSer,0
3825,RevealHouse Hi,0
3826,Gael was,0
3827,was born,1
3828,born in,1
3829,in Dublin,0
3830,Dublin to,0
3831,a shady,1
3832,shady family,0
3833,family After,0
3834,After some,0
3835,some issues,0
3836,issues they,0
3837,they came,1
3838,came to,2
3839,the US,0
3840,US He,0
3841,He was,0
3842,a sure,1
3843,sure fit,1
3844,fit for,1
3845,the local,1
3846,local Irish,0
3847,Irish gang,0
3848,gang Then,0
3849,Then he,0
3850,he met,1
3851,met Dr,0
3852,Dr Jack,0
